date,station,line,division,daily_ridership
2016-08-22,5 AV/59 ST,NQR,RIT,18326
2016-08-23,5 AV/59 ST,NQR,RIT,20123
2016-08-24,5 AV/59 ST,NQR,RIT,20009
2016-08-25,5 AV/59 ST,NQR,RIT,19370
2016-08-26,5 AV/59 ST,NQR,RIT,18003
2016-08-27,5 AV/59 ST,NQR,RIT,12657
2016-08-28,5 AV/59 ST,NQR,RIT,10974
2016-08-29,5 AV/59 ST,NQR,RIT,17440
2016-08-30,5 AV/59 ST,NQR,RIT,18577
2016-08-31,5 AV/59 ST,NQR,RIT,18594
2016-09-01,5 AV/59 ST,NQR,RIT,17336
2016-09-02,5 AV/59 ST,NQR,RIT,17463
2016-09-03,5 AV/59 ST,NQR,RIT,13532
2016-09-04,5 AV/59 ST,NQR,RIT,11699
2016-09-05,5 AV/59 ST,NQR,RIT,10325
2016-09-06,5 AV/59 ST,NQR,RIT,17741
2016-09-07,5 AV/59 ST,NQR,RIT,19765
2016-09-08,5 AV/59 ST,NQR,RIT,19825
2016-09-09,5 AV/59 ST,NQR,RIT,19097
2016-09-10,5 AV/59 ST,NQR,RIT,13757
2016-09-11,5 AV/59 ST,NQR,RIT,9857
2016-09-12,5 AV/59 ST,NQR,RIT,18843
2016-09-13,5 AV/59 ST,NQR,RIT,19744
2016-09-14,5 AV/59 ST,NQR,RIT,19869
2016-09-15,5 AV/59 ST,NQR,RIT,20806
2016-09-16,5 AV/59 ST,NQR,RIT,20547
2016-09-17,5 AV/59 ST,NQR,RIT,15107
2016-09-18,5 AV/59 ST,NQR,RIT,10707
2016-09-19,5 AV/59 ST,NQR,RIT,18280
2016-09-20,5 AV/59 ST,NQR,RIT,21379
2016-09-21,5 AV/59 ST,NQR,RIT,21990
2016-09-22,5 AV/59 ST,NQR,RIT,21326
2016-09-23,5 AV/59 ST,NQR,RIT,20826
2016-09-24,5 AV/59 ST,NQR,RIT,14205
2016-09-25,5 AV/59 ST,NQR,RIT,11939
2016-09-26,5 AV/59 ST,NQR,RIT,18608
2016-09-27,5 AV/59 ST,NQR,RIT,18923
2016-09-28,5 AV/59 ST,NQR,RIT,19424
2016-09-29,5 AV/59 ST,NQR,RIT,18874
2016-09-30,5 AV/59 ST,NQR,RIT,19105
2016-10-01,5 AV/59 ST,NQR,RIT,11402
2016-10-02,5 AV/59 ST,NQR,RIT,10173
2016-10-03,5 AV/59 ST,NQR,RIT,17278
2016-10-04,5 AV/59 ST,NQR,RIT,19469
2016-10-05,5 AV/59 ST,NQR,RIT,20383
2016-10-06,5 AV/59 ST,NQR,RIT,20382
2016-10-07,5 AV/59 ST,NQR,RIT,20082
2016-10-08,5 AV/59 ST,NQR,RIT,12246
2016-10-09,5 AV/59 ST,NQR,RIT,8963
2016-10-10,5 AV/59 ST,NQR,RIT,18748
2016-10-11,5 AV/59 ST,NQR,RIT,19333
2016-10-12,5 AV/59 ST,NQR,RIT,18847
2016-10-13,5 AV/59 ST,NQR,RIT,20208
2016-10-14,5 AV/59 ST,NQR,RIT,19995
2016-10-15,5 AV/59 ST,NQR,RIT,14207
2016-10-16,5 AV/59 ST,NQR,RIT,11916
2016-10-17,5 AV/59 ST,NQR,RIT,18736
2016-10-18,5 AV/59 ST,NQR,RIT,19970
2016-10-19,5 AV/59 ST,NQR,RIT,20955
2016-10-20,5 AV/59 ST,NQR,RIT,19913
2016-10-21,5 AV/59 ST,NQR,RIT,19351
2016-10-22,5 AV/59 ST,NQR,RIT,11804
2016-10-23,5 AV/59 ST,NQR,RIT,12641
2016-10-24,5 AV/59 ST,NQR,RIT,18610
2016-10-25,5 AV/59 ST,NQR,RIT,19304
2016-10-26,5 AV/59 ST,NQR,RIT,20008
2016-10-27,5 AV/59 ST,NQR,RIT,19167
2016-10-28,5 AV/59 ST,NQR,RIT,19455
2016-07-31,57 ST-7 AV,NQR,RIT,11231
2016-08-01,57 ST-7 AV,NQR,RIT,19409
2016-08-02,57 ST-7 AV,NQR,RIT,22040
2016-08-03,57 ST-7 AV,NQR,RIT,22456
2016-08-04,57 ST-7 AV,NQR,RIT,22049
2016-08-05,57 ST-7 AV,NQR,RIT,20928
2016-08-06,57 ST-7 AV,NQR,RIT,14001
2016-08-07,57 ST-7 AV,NQR,RIT,12460
2016-08-08,57 ST-7 AV,NQR,RIT,19909
2016-08-09,57 ST-7 AV,NQR,RIT,21512
2016-08-10,57 ST-7 AV,NQR,RIT,22179
2016-08-11,57 ST-7 AV,NQR,RIT,21684
2016-08-12,57 ST-7 AV,NQR,RIT,20009
2016-08-13,57 ST-7 AV,NQR,RIT,13269
2016-08-14,57 ST-7 AV,NQR,RIT,11094
2016-08-15,57 ST-7 AV,NQR,RIT,19545
2016-08-16,57 ST-7 AV,NQR,RIT,21011
2016-08-17,57 ST-7 AV,NQR,RIT,21270
2016-08-18,57 ST-7 AV,NQR,RIT,21356
2016-08-19,57 ST-7 AV,NQR,RIT,19929
2016-08-20,57 ST-7 AV,NQR,RIT,13767
2016-08-21,57 ST-7 AV,NQR,RIT,12222
2016-08-22,57 ST-7 AV,NQR,RIT,18579
2016-08-23,57 ST-7 AV,NQR,RIT,21260
2016-08-24,57 ST-7 AV,NQR,RIT,22044
2016-08-25,57 ST-7 AV,NQR,RIT,21736
2016-08-26,57 ST-7 AV,NQR,RIT,20181
2016-08-27,57 ST-7 AV,NQR,RIT,14040
2016-08-28,57 ST-7 AV,NQR,RIT,12527
2016-08-29,57 ST-7 AV,NQR,RIT,19983
2016-08-30,57 ST-7 AV,NQR,RIT,21563
2016-08-31,57 ST-7 AV,NQR,RIT,21813
2016-09-01,57 ST-7 AV,NQR,RIT,21112
2016-09-02,57 ST-7 AV,NQR,RIT,19096
2016-09-03,57 ST-7 AV,NQR,RIT,13028
2016-09-04,57 ST-7 AV,NQR,RIT,11902
2016-09-05,57 ST-7 AV,NQR,RIT,10096
2016-09-06,57 ST-7 AV,NQR,RIT,19940
2016-09-07,57 ST-7 AV,NQR,RIT,22746
2016-09-08,57 ST-7 AV,NQR,RIT,23219
2016-09-09,57 ST-7 AV,NQR,RIT,22876
2016-09-10,57 ST-7 AV,NQR,RIT,16352
2016-09-11,57 ST-7 AV,NQR,RIT,13132
2016-09-12,57 ST-7 AV,NQR,RIT,20595
2016-09-13,57 ST-7 AV,NQR,RIT,23873
2016-09-14,57 ST-7 AV,NQR,RIT,23926
2016-09-15,57 ST-7 AV,NQR,RIT,26188
2016-09-16,57 ST-7 AV,NQR,RIT,24137
2016-09-17,57 ST-7 AV,NQR,RIT,19285
2016-09-18,57 ST-7 AV,NQR,RIT,14984
2016-09-19,57 ST-7 AV,NQR,RIT,23229
2016-09-20,57 ST-7 AV,NQR,RIT,26028
2016-09-21,57 ST-7 AV,NQR,RIT,27068
2016-09-22,57 ST-7 AV,NQR,RIT,26768
2016-09-23,57 ST-7 AV,NQR,RIT,25230
2016-09-24,57 ST-7 AV,NQR,RIT,16823
2016-09-25,57 ST-7 AV,NQR,RIT,14666
2016-09-26,57 ST-7 AV,NQR,RIT,23024
2016-09-27,57 ST-7 AV,NQR,RIT,24977
2016-09-28,57 ST-7 AV,NQR,RIT,26809
2016-09-29,57 ST-7 AV,NQR,RIT,25958
2016-09-30,57 ST-7 AV,NQR,RIT,26178
2016-10-01,57 ST-7 AV,NQR,RIT,16449
2016-10-02,57 ST-7 AV,NQR,RIT,14311
2016-10-03,57 ST-7 AV,NQR,RIT,20323
2016-10-04,57 ST-7 AV,NQR,RIT,23159
2016-10-05,57 ST-7 AV,NQR,RIT,25760
2016-10-06,57 ST-7 AV,NQR,RIT,26571
2016-10-07,57 ST-7 AV,NQR,RIT,25903
2016-10-08,57 ST-7 AV,NQR,RIT,17674
2016-10-09,57 ST-7 AV,NQR,RIT,13802
2016-10-10,57 ST-7 AV,NQR,RIT,19837
2016-10-11,57 ST-7 AV,NQR,RIT,24575
2016-10-12,57 ST-7 AV,NQR,RIT,22187
2016-10-13,57 ST-7 AV,NQR,RIT,25139
2016-10-14,57 ST-7 AV,NQR,RIT,26672
2016-10-15,57 ST-7 AV,NQR,RIT,19821
2016-10-16,57 ST-7 AV,NQR,RIT,15966
2016-10-17,57 ST-7 AV,NQR,RIT,23779
2016-10-18,57 ST-7 AV,NQR,RIT,25513
2016-10-19,57 ST-7 AV,NQR,RIT,26482
2016-10-20,57 ST-7 AV,NQR,RIT,26693
