date,station,line,division,ridership
2016-07-31,59 ST,NQR456,BMT,7965
2016-08-01,59 ST,NQR456,BMT,15594
2016-08-02,59 ST,NQR456,BMT,17262
2016-08-03,59 ST,NQR456,BMT,17538
2016-08-04,59 ST,NQR456,BMT,17523
2016-08-05,59 ST,NQR456,BMT,17371
2016-08-06,59 ST,NQR456,BMT,10450
2016-08-07,59 ST,NQR456,BMT,8097
2016-08-08,59 ST,NQR456,BMT,15699
2016-08-09,59 ST,NQR456,BMT,17188
2016-08-10,59 ST,NQR456,BMT,17107
2016-08-11,59 ST,NQR456,BMT,17022
2016-08-12,59 ST,NQR456,BMT,16503
2016-08-13,59 ST,NQR456,BMT,10069
2016-08-14,59 ST,NQR456,BMT,8405
2016-08-15,59 ST,NQR456,BMT,14988
2016-08-16,59 ST,NQR456,BMT,16675
2016-08-17,59 ST,NQR456,BMT,16860
2016-08-18,59 ST,NQR456,BMT,16859
2016-08-19,59 ST,NQR456,BMT,16410
2016-08-20,59 ST,NQR456,BMT,9579
2016-08-21,59 ST,NQR456,BMT,7860
2016-08-22,59 ST,NQR456,BMT,15188
2016-08-23,59 ST,NQR456,BMT,16724
2016-08-24,59 ST,NQR456,BMT,16741
2016-08-25,59 ST,NQR456,BMT,16815
2016-08-26,59 ST,NQR456,BMT,16494
2016-08-27,59 ST,NQR456,BMT,9917
2016-08-28,59 ST,NQR456,BMT,7896
2016-08-29,59 ST,NQR456,BMT,15462
2016-08-30,59 ST,NQR456,BMT,16622
2016-08-31,59 ST,NQR456,BMT,16557
2016-09-01,59 ST,NQR456,BMT,16464
2016-09-02,59 ST,NQR456,BMT,15919
2016-09-03,59 ST,NQR456,BMT,9336
2016-09-04,59 ST,NQR456,BMT,7303
2016-09-05,59 ST,NQR456,BMT,7105
2016-09-06,59 ST,NQR456,BMT,15694
2016-09-07,59 ST,NQR456,BMT,17425
2016-09-08,59 ST,NQR456,BMT,18063
2016-09-09,59 ST,NQR456,BMT,17826
2016-09-10,59 ST,NQR456,BMT,10689
2016-09-11,59 ST,NQR456,BMT,8339
2016-09-12,59 ST,NQR456,BMT,16101
2016-09-13,59 ST,NQR456,BMT,18075
2016-09-14,59 ST,NQR456,BMT,18213
2016-09-15,59 ST,NQR456,BMT,18419
2016-09-16,59 ST,NQR456,BMT,18315
2016-09-17,59 ST,NQR456,BMT,11264
2016-09-18,59 ST,NQR456,BMT,8633
2016-09-19,59 ST,NQR456,BMT,16996
2016-09-20,59 ST,NQR456,BMT,19080
2016-09-21,59 ST,NQR456,BMT,19186
2016-09-22,59 ST,NQR456,BMT,18863
2016-09-23,59 ST,NQR456,BMT,18736
2016-09-24,59 ST,NQR456,BMT,11509
2016-09-25,59 ST,NQR456,BMT,8906
2016-09-26,59 ST,NQR456,BMT,16484
2016-09-27,59 ST,NQR456,BMT,17059
2016-09-28,59 ST,NQR456,BMT,17074
2016-09-29,59 ST,NQR456,BMT,18638
2016-09-30,59 ST,NQR456,BMT,18553
2016-10-01,59 ST,NQR456,BMT,11068
2016-10-02,59 ST,NQR456,BMT,8860
2016-10-03,59 ST,NQR456,BMT,15095
2016-10-04,59 ST,NQR456,BMT,17327
2016-10-05,59 ST,NQR456,BMT,18752
2016-10-06,59 ST,NQR456,BMT,18765
2016-10-07,59 ST,NQR456,BMT,18671
2016-10-08,59 ST,NQR456,BMT,11648
2016-10-09,59 ST,NQR456,BMT,8472
2016-10-10,59 ST,NQR456,BMT,15213
